//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-16-2014
//--  Time: 15:22
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -4.0(F), 	Resistance 1: 16200.0 Ohms 
//--    Temperature2: 68.0(F), 	Resistance 2: 2500.0 Ohms 
//--    Temperature3: 176.0(F), 	Resistance 3: 300.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
751	26.91	269 	3.667
752	26.72	267 	3.672
753	26.53	265 	3.677
754	26.34	263 	3.682
755	26.15	261 	3.687
756	25.96	260 	3.691
757	25.76	258 	3.696
758	25.57	256 	3.701
759	25.38	254 	3.706
760	25.18	252 	3.711
761	24.99	250 	3.716
762	24.80	248 	3.721
763	24.60	246 	3.726
764	24.41	244 	3.730
765	24.21	242 	3.735
766	24.02	240 	3.740
767	23.82	238 	3.745
768	23.63	236 	3.750
769	23.43	234 	3.755
770	23.23	232 	3.760
771	23.03	230 	3.765
772	22.84	228 	3.770
773	22.64	226 	3.774
774	22.44	224 	3.779
775	22.24	222 	3.784
776	22.04	220 	3.789
777	21.84	218 	3.794
778	21.64	216 	3.799
779	21.44	214 	3.804
780	21.24	212 	3.809
781	21.04	210 	3.813
782	20.84	208 	3.818
783	20.63	206 	3.823
784	20.43	204 	3.828
785	20.23	202 	3.833
786	20.02	200 	3.838
787	19.82	198 	3.843
788	19.62	196 	3.848
789	19.41	194 	3.853
790	19.20	192 	3.857
791	19.00	190 	3.862
792	18.79	188 	3.867
793	18.58	186 	3.872
794	18.38	184 	3.877
795	18.17	182 	3.882
796	17.96	180 	3.887
797	17.75	178 	3.892
798	17.54	175 	3.896
799	17.33	173 	3.901
800	17.12	171 	3.906
801	16.91	169 	3.911
802	16.70	167 	3.916
803	16.49	165 	3.921
804	16.27	163 	3.926
805	16.06	161 	3.931
806	15.85	158 	3.936
807	15.63	156 	3.940
808	15.42	154 	3.945
809	15.20	152 	3.950
810	14.98	150 	3.955
811	14.77	148 	3.960
812	14.55	145 	3.965
813	14.33	143 	3.970
814	14.11	141 	3.975
815	13.89	139 	3.979
816	13.67	137 	3.984
817	13.45	135 	3.989
818	13.23	132 	3.994
819	13.01	130 	3.999
820	12.79	128 	4.004
821	12.57	126 	4.009
822	12.34	123 	4.014
823	12.12	121 	4.019
824	11.89	119 	4.023
825	11.67	117 	4.028
826	11.44	114 	4.033
827	11.21	112 	4.038
828	10.98	110 	4.043
829	10.76	108 	4.048
830	10.53	105 	4.053
831	10.30	103 	4.058
832	10.07	101 	4.063
833	9.83	98 	4.067
834	9.60	96 	4.072
835	9.37	94 	4.077
836	9.13	91 	4.082
837	8.90	89 	4.087
838	8.66	87 	4.092
839	8.43	84 	4.097
840	8.19	82 	4.102
841	7.95	80 	4.106
842	7.71	77 	4.111
843	7.47	75 	4.116
844	7.23	72 	4.121
845	6.99	70 	4.126
846	6.75	68 	4.131
847	6.51	65 	4.136
848	6.26	63 	4.141
849	6.02	60 	4.146
850	5.77	58 	4.150
851	5.53	55 	4.155
852	5.28	53 	4.160
853	5.03	50 	4.165
854	4.78	48 	4.170
855	4.53	45 	4.175
856	4.28	43 	4.180
857	4.03	40 	4.185
858	3.77	38 	4.189
859	3.52	35 	4.194
860	3.26	33 	4.199
861	3.01	30 	4.204
862	2.75	27 	4.209
863	2.49	25 	4.214
864	2.23	22 	4.219
865	1.97	20 	4.224
866	1.71	17 	4.229
867	1.44	14 	4.233
868	1.18	12 	4.238
869	0.91	9 	4.243
870	0.65	6 	4.248
871	0.38	4 	4.253
872	0.11	1 	4.258
873	-0.16	-2 	4.263
874	-0.43	-4 	4.268
875	-0.71	-7 	4.272
876	-0.98	-10 	4.277
877	-1.25	-13 	4.282
878	-1.53	-15 	4.287
879	-1.81	-18 	4.292
880	-2.09	-21 	4.297
881	-2.37	-24 	4.302
882	-2.65	-27 	4.307
883	-2.94	-29 	4.312
884	-3.22	-32 	4.316
885	-3.51	-35 	4.321
886	-3.79	-38 	4.326
887	-4.08	-41 	4.331
888	-4.38	-44 	4.336
889	-4.67	-47 	4.341
890	-4.96	-50 	4.346
891	-5.26	-53 	4.351
892	-5.55	-56 	4.355
893	-5.85	-59 	4.360
894	-6.15	-62 	4.365
895	-6.46	-65 	4.370
896	-6.76	-68 	4.375
897	-7.07	-71 	4.380
