#Firmware: MS3 pre-1.3 RC2       20140224 12:07GMT (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,0.0,0.0,1.0,12.368,27268.879
0.0,0.0,1.0,1.0,8.118,27276.996
0.0,0.0,1.0,1.0,7.228,27284.225
0.0,0.0,0.0,1.0,4.134,27288.36
0.0,0.0,0.0,1.0,12.395,27300.754
0.0,0.0,0.0,1.0,19.483,27320.236
0.0,0.0,0.0,1.0,12.373,27332.61
0.0,0.0,1.0,1.0,15.505,27348.115
0.0,0.0,0.0,1.0,3.966,27352.082
0.0,0.0,0.0,1.0,12.391,27364.473
0.0,0.0,0.0,1.0,19.588,27384.06
0.0,0.0,0.0,1.0,12.502,27396.562
0.0,0.0,1.0,1.0,8.211,27404.773
0.0,0.0,1.0,1.0,7.319,27412.092
0.0,0.0,0.0,1.0,4.197,27416.29
0.0,0.0,0.0,1.0,12.575,27428.863
0.0,0.0,0.0,1.0,19.739,27448.602
0.0,0.0,0.0,1.0,12.519,27461.121
0.0,0.0,1.0,1.0,15.699,27476.82
0.0,0.0,0.0,1.0,4.01,27480.83
0.0,0.0,0.0,1.0,12.531,27493.361
0.0,0.0,0.0,1.0,19.752,27513.113
0.0,0.0,0.0,1.0,12.574,27525.688
0.0,0.0,1.0,1.0,8.252,27533.94
0.0,0.0,1.0,1.0,7.342,27541.281
0.0,0.0,0.0,1.0,4.196,27545.477
0.0,0.0,0.0,1.0,12.597,27558.074
0.0,0.0,0.0,1.0,19.752,27577.826
0.0,0.0,0.0,1.0,12.515,27590.342
0.0,0.0,1.0,1.0,15.648,27605.99
0.0,0.0,0.0,1.0,4.018,27610.008
0.0,0.0,0.0,1.0,12.499,27622.506
0.0,0.0,0.0,1.0,19.693,27642.2
0.0,0.0,0.0,1.0,12.528,27654.727
0.0,0.0,1.0,1.0,8.216,27662.943
0.0,0.0,1.0,1.0,7.298,27670.242
0.0,0.0,0.0,1.0,4.187,27674.43
0.0,0.0,0.0,1.0,12.534,27686.963
0.0,0.0,0.0,1.0,19.706,27706.668
0.0,0.0,0.0,1.0,12.51,27719.178
0.0,0.0,1.0,1.0,15.675,27734.854
0.0,0.0,0.0,1.0,4.028,27738.88
0.0,0.0,0.0,1.0,12.542,27751.424
0.0,0.0,0.0,1.0,19.764,27771.188
0.0,0.0,0.0,1.0,12.566,27783.754
0.0,0.0,1.0,1.0,8.253,27792.008
0.0,0.0,1.0,1.0,7.351,27799.36
0.0,0.0,0.0,1.0,4.22,27803.58
0.0,0.0,0.0,1.0,12.629,27816.209
0.0,0.0,0.0,1.0,19.784,27835.992
0.0,0.0,0.0,1.0,12.54,27848.531
0.0,0.0,1.0,1.0,15.692,27864.223
0.0,0.0,0.0,1.0,3.996,27868.219
0.0,0.0,0.0,1.0,12.498,27880.717
0.0,0.0,0.0,1.0,19.627,27900.344
0.0,0.0,0.0,1.0,12.46,27912.805
0.0,0.0,1.0,1.0,8.185,27920.99
0.0,0.0,1.0,1.0,7.288,27928.277
0.0,0.0,0.0,1.0,4.175,27932.453
0.0,0.0,0.0,1.0,12.526,27944.979
0.0,0.0,0.0,1.0,19.62,27964.598
0.0,0.0,0.0,1.0,12.44,27977.037
0.0,0.0,1.0,1.0,15.584,27992.621
0.0,0.0,0.0,1.0,3.995,27996.615
0.0,0.0,0.0,1.0,12.451,28009.066
0.0,0.0,0.0,1.0,19.632,28028.7
0.0,0.0,0.0,1.0,12.495,28041.193
0.0,0.0,1.0,1.0,8.182,28049.375
0.0,0.0,1.0,1.0,7.312,28056.688
0.0,0.0,0.0,1.0,4.187,28060.875
0.0,0.0,0.0,1.0,12.53,28073.404
0.0,0.0,0.0,1.0,19.608,28093.012
0.0,0.0,0.0,1.0,12.421,28105.434
0.0,0.0,1.0,1.0,15.572,28121.006
0.0,0.0,0.0,1.0,4.006,28125.012
0.0,0.0,0.0,1.0,12.46,28137.473
0.0,0.0,0.0,1.0,19.618,28157.09
0.0,0.0,0.0,1.0,12.475,28169.564
0.0,0.0,1.0,1.0,8.196,28177.76
0.0,0.0,1.0,1.0,7.305,28185.064
0.0,0.0,0.0,1.0,4.189,28189.254
0.0,0.0,0.0,1.0,12.544,28201.799
0.0,0.0,0.0,1.0,19.669,28221.469
0.0,0.0,0.0,1.0,12.463,28233.932
0.0,0.0,1.0,1.0,15.589,28249.521
0.0,0.0,0.0,1.0,3.969,28253.49
0.0,0.0,0.0,1.0,12.416,28265.906
0.0,0.0,0.0,1.0,19.592,28285.498
0.0,0.0,0.0,1.0,12.483,28297.98
0.0,0.0,1.0,1.0,8.203,28306.184
0.0,0.0,1.0,1.0,7.28,28313.463
0.0,0.0,0.0,1.0,4.17,28317.633
0.0,0.0,0.0,1.0,12.505,28330.139
0.0,0.0,0.0,1.0,19.629,28349.768
0.0,0.0,0.0,1.0,12.455,28362.223
0.0,0.0,1.0,1.0,15.586,28377.809
0.0,0.0,0.0,1.0,3.987,28381.795
0.0,0.0,0.0,1.0,12.443,28394.238
0.0,0.0,0.0,1.0,19.53,28413.768
0.0,0.0,0.0,1.0,12.393,28426.16
0.0,0.0,1.0,1.0,8.124,28434.283
0.0,0.0,1.0,1.0,7.228,28441.512
0.0,0.0,0.0,1.0,4.154,28445.666
0.0,0.0,0.0,1.0,12.405,28458.07
0.0,0.0,0.0,1.0,19.412,28477.482
0.0,0.0,0.0,1.0,12.292,28489.775
0.0,0.0,1.0,1.0,15.4,28505.176
0.0,0.0,0.0,1.0,3.938,28509.113
0.0,0.0,0.0,1.0,12.297,28521.41
0.0,0.0,0.0,1.0,19.422,28540.832
0.0,0.0,0.0,1.0,12.389,28553.22
0.0,0.0,1.0,1.0,8.134,28561.355
0.0,0.0,1.0,1.0,7.213,28568.568
0.0,0.0,0.0,1.0,4.13,28572.7
0.0,0.0,0.0,1.0,12.392,28585.092
0.0,0.0,0.0,1.0,19.44,28604.531
0.0,0.0,0.0,1.0,12.318,28616.85
0.0,0.0,1.0,1.0,15.432,28632.281
0.0,0.0,0.0,1.0,3.937,28636.219
0.0,0.0,0.0,1.0,12.313,28648.531
0.0,0.0,0.0,1.0,19.343,28667.875
0.0,0.0,0.0,1.0,12.285,28680.16
0.0,0.0,1.0,1.0,8.081,28688.24
0.0,0.0,1.0,1.0,7.169,28695.41
0.0,0.0,0.0,1.0,4.086,28699.496
0.0,0.0,0.0,1.0,12.305,28711.8
0.0,0.0,0.0,1.0,19.34,28731.14
0.0,0.0,0.0,1.0,12.273,28743.414
0.0,0.0,1.0,1.0,15.4,28758.814
0.0,0.0,0.0,1.0,3.93,28762.744
0.0,0.0,0.0,1.0,12.302,28775.047
0.0,0.0,0.0,1.0,19.37,28794.416
0.0,0.0,0.0,1.0,12.321,28806.736
0.0,0.0,1.0,1.0,8.085,28814.822
0.0,0.0,1.0,1.0,7.189,28822.012
0.0,0.0,0.0,1.0,4.131,28826.143
0.0,0.0,0.0,1.0,12.352,28838.494
0.0,0.0,0.0,1.0,19.389,28857.883
0.0,0.0,0.0,1.0,12.295,28870.178
0.0,0.0,1.0,1.0,15.389,28885.566
0.0,0.0,0.0,1.0,3.936,28889.502
0.0,0.0,0.0,1.0,12.28,28901.781
0.0,0.0,0.0,1.0,19.396,28921.178
0.0,0.0,0.0,1.0,12.369,28933.547
0.0,0.0,1.0,1.0,8.113,28941.66
0.0,0.0,1.0,1.0,7.225,28948.885
0.0,0.0,0.0,1.0,4.13,28953.016
0.0,0.0,0.0,1.0,12.396,28965.412
0.0,0.0,0.0,1.0,19.422,28984.834
0.0,0.0,0.0,1.0,12.318,28997.152
0.0,0.0,1.0,1.0,15.424,29012.576
0.0,0.0,0.0,1.0,3.941,29016.518
0.0,0.0,0.0,1.0,12.308,29028.826
0.0,0.0,0.0,1.0,19.387,29048.213
